Date,County,State Abbreviation,Population,Cases - last 7 days,Cumulative cases,Total RT-PCR diagnostic tests - last 7 days (may be an underestimate due to delayed reporting),Deaths - last 7 days,Cumulative deaths,Viral (RT-PCR) lab test positivity rate - last 7 days (may exhibit anomalies due to delayed reporting),Viral (RT-PCR) lab test positivity rate - last 7 days,Confirmed COVID-19 admissions - last 7 days,Suspected COVID-19 admissions - last 7 days,% inpatient beds occupied by COVID-19 patient,Total inpatient beds among hospitals reporting - last 7 days,% ventilators in use by COVID-19 patient,Total ventilators among hospitals reporting - last 7 days,People who are fully vaccinated,People who are fully vaccinated - ages 65+,People who are fully vaccinated as % of population - ages 65+,People with at least 1 dose,People with at least 1 dose - ages 65+,People who are fully vaccinated - 12-17,People who are fully vaccinated as % of population - 12-17,People with at least 1 dose - ages 12-17,NAAT positivity rate - last 7 days,Total NAATs - last 7 days (may be an underestimate due to delayed reporting),Positivity Rate,Population 5-11,Population 12-17,Population 5+,Population 12+,Population 65+,Total Population,"Proportion Vaccinated, Total",Proportion Vaccinated of Eligible Population,"Proportion Vaccinated, 65+","Proportion Vaccinated, 12-17"
2020-12-17,Miami-Dade,FL,2716940,15630,264673,157074,87,4017,0.126,0.126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.126,226130,196555.8,2749608,2523478,486183,2918507,NA,NA,NA,NA
2020-12-17,Broward,FL,1952778,6455,122883,75461,37,1757,0.11,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,160586,136860.6,1852867,1692281,336796,1965657,NA,NA,NA,NA
2020-12-17,Orange,FL,1393452,4920,65975,31811,32,684,0.088,0.088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.088,124840,110580,1369568,1244728,179437,1457445,NA,NA,NA,NA
2020-12-17,Hillsborough,FL,1471968,4621,67060,31390,39,1011,0.09,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,131031,111872.4,1417396,1286365,219352,1508560,NA,NA,NA,NA
2020-12-17,Duval,FL,957755,3686,51936,25788,31,692,0.093,0.093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.093,87818,70273.2,934514,846696,145007,1002075,NA,NA,NA,NA
2020-12-17,Palm Beach,FL,1496770,3684,73998,38147,51,1796,0.09,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,108526,97075.8,1410416,1301890,361966,1486178,NA,NA,NA,NA
2020-12-17,Pinellas,FL,974996,2900,38783,25770,25,966,0.075,0.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.075,61164,53810.399999999994,950340,889176,252022,992298,NA,NA,NA,NA
2020-12-17,Lee,FL,770577,2221,35353,11973,18,626,0.094,0.094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.094,52144,46294.2,738212,686068,225470,773456,NA,NA,NA,NA
2020-12-17,Polk,FL,724777,2058,31996,16323,27,735,0.087,0.087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.087,61955,54464.399999999994,678404,616449,147122,719665,NA,NA,NA,NA
2020-12-17,Pasco,FL,553947,1669,18385,13229,23,329,0.107,0.107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.107,44088,37853.4,521221,477133,124451,549517,NA,NA,NA,NA
2020-12-17,Osceola,FL,375751,1512,22057,8390,10,272,0.11,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,38076,33550.2,376817,338741,54266,401594,NA,NA,NA,NA
2020-12-17,Escambia,FL,318316,1291,19256,5398,10,337,0.115,0.115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.115,26549,24466.800000000003,307570,281021,56074,327107,NA,NA,NA,NA
2020-12-17,Brevard,FL,601942,1224,18301,9048,22,486,0.065,0.065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.065,43486,38833.2,583385,539899,147991,611202,NA,NA,NA,NA
2020-12-17,Manatee,FL,403253,1207,19389,9299,7,400,0.076,0.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.076,28627,24964.2,387004,358377,113781,405480,NA,NA,NA,NA
2020-12-17,Volusia,FL,553284,1197,19072,8501,12,398,0.062,0.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.062,37731,34284,526525,488794,137573,552328,NA,NA,NA,NA
2020-12-17,Seminole,FL,471826,1154,15757,7518,12,301,0.08,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,39812,35093.4,461372,421560,77793,486795,NA,NA,NA,NA
2020-12-17,Lake,FL,367118,1089,12727,7059,10,275,0.088,0.088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.088,28089,24258,359389,331300,102242,377680,NA,NA,NA,NA
2020-12-17,Sarasota,FL,433742,1021,16189,9068,34,450,0.058,0.058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.058,24028,22290,425883,401855,164723,441179,NA,NA,NA,NA
2020-12-17,Marion,FL,365579,972,15218,7895,19,428,0.101,0.101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.101,26979,22926,354159,327180,108683,372469,NA,NA,NA,NA
2020-12-17,Collier,FL,384902,943,20294,8241,9,312,0.079,0.079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.079,25588,22994.4,376747,351159,129633,393793,NA,NA,NA,NA
2020-12-17,Leon,FL,293582,912,17202,6694,14,167,0.072,0.072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.072,21795,25484.4,287773,265978,42164,303541,NA,NA,NA,NA
2020-12-17,Santa Rosa,FL,184313,849,9147,1817,9,114,0.161,0.161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.161,16027,13812.6,176590,160563,30559,186998,NA,NA,NA,NA
2020-12-17,St. Johns,FL,264672,845,10697,6529,5,107,0.081,0.081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.081,24024,21507,261818,237794,56834,275222,NA,NA,NA,NA
2020-12-17,Okaloosa,FL,210738,819,11023,3144,17,191,0.148,0.148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.148,18106,14181,193095,174989,33668,206418,NA,NA,NA,NA
2020-12-17,Bay,FL,174705,760,10104,1402,11,188,0.128,0.128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.128,14327,11853.6,167679,153352,33126,177856,NA,NA,NA,NA
2020-12-17,St. Lucie,FL,328297,695,12319,6255,4,380,0.089,0.089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.089,24772,21553.8,306013,281241,79416,322154,NA,NA,NA,NA
2020-12-17,Alachua,FL,269043,674,14323,10632,4,110,0.056,0.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.056,19429,21043.199999999997,258736,239307,39810,272746,NA,NA,NA,NA
2020-12-17,Clay,FL,219252,642,9452,4941,7,169,0.106,0.106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.106,20294,18224.4,211370,191076,36535,223483,NA,NA,NA,NA
2020-12-17,Hernando,FL,193920,575,6177,4353,16,249,0.134,0.134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.134,14004,12369,186290,172286,53678,195123,NA,NA,NA,NA
2020-12-17,Charlotte,FL,188910,461,6207,3615,5,212,0.083,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.083,8667,7905,182580,173913,76723,188061,NA,NA,NA,NA
2020-12-17,Citrus,FL,149657,395,5699,3682,35,223,0.105,0.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.105,8709,7641.6,145746,137037,55549,151314,NA,NA,NA,NA
2020-12-17,Martin,FL,161000,318,6967,3437,4,188,0.073,0.073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.073,10168,9198,156129,145961,51330,162810,NA,NA,NA,NA
2020-12-17,Sumter,FL,132420,310,4154,3046,8,109,0.076,0.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.076,3823,3189,134692,130869,79884,137317,NA,NA,NA,NA
2020-12-17,Nassau,FL,88625,304,3847,2432,3,64,0.071,0.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.071,6998,5849.4,84631,77633,20347,89151,NA,NA,NA,NA
2020-12-17,Indian River,FL,159923,295,5667,2512,7,150,0.07,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,9657,8856,154227,144570,54400,160707,NA,NA,NA,NA
2020-12-17,Highlands,FL,106221,287,4420,2336,11,186,0.095,0.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.095,7011,5986.8,100545,93534,37889,105105,NA,NA,NA,NA
2020-12-17,Walton,FL,74071,281,4281,757,2,41,0.116,0.116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116,6037,4767,70267,64230,15049,74427,NA,NA,NA,NA
2020-12-17,Putnam,FL,74521,274,3321,2147,1,62,0.121,0.121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.121,6081,5100,69205,63124,17408,73398,NA,NA,NA,NA
2020-12-17,Columbia,FL,71686,249,5253,1638,6,106,0.122,0.122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.122,6087,5130,67171,61084,13734,71288,NA,NA,NA,NA
2020-12-17,Hendry,FL,42022,230,2897,595,1,46,0.197,0.197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.197,4329,3586.2,37962,33633,5631,40936,NA,NA,NA,NA
2020-12-17,Monroe,FL,74228,227,3890,2276,2,30,0.085,0.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.085,4458,3682.2,72921,68463,18129,76335,NA,NA,NA,NA
2020-12-17,Flagler,FL,115081,192,3137,1500,1,46,0.083,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.083,7550,7131.6,112192,104642,36393,116671,NA,NA,NA,NA
2020-12-17,"Unallocated, FL",FL,NA,171,3179,28260,0,0,0.085,0.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-12-17,Bradford,FL,28201,147,1648,736,3,22,0.185,0.185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.185,2214,1822.8,27387,25173,5191,28906,NA,NA,NA,NA
2020-12-17,Jackson,FL,46414,144,4197,1119,6,107,0.083,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.083,3343,3105.6000000000004,44792,41449,9741,47261,NA,NA,NA,NA
2020-12-17,Gadsden,FL,45660,112,3556,786,0,58,0.111,0.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.111,3886,3340.2,43699,39813,8696,46481,NA,NA,NA,NA
2020-12-17,Suwannee,FL,44417,110,3569,1031,7,94,0.092,0.092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.092,3853,3349.2,44020,40167,10108,46509,NA,NA,NA,NA
2020-12-17,Washington,FL,25473,102,1712,344,2,29,0.122,0.122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.122,1971,1731,24077,22106,4369,25397,NA,NA,NA,NA
2020-12-17,Levy,FL,41503,100,1624,932,3,18,0.103,0.103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.103,3260,2670.6,39710,36450,10524,41859,NA,NA,NA,NA
2020-12-17,Baker,FL,29210,95,2230,530,2,36,0.128,0.128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.128,2740,2265,27074,24334,4067,28864,NA,NA,NA,NA
2020-12-17,DeSoto,FL,38001,93,2644,1088,9,48,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,2653,2404.2,34803,32150,8245,36613,NA,NA,NA,NA
2020-12-17,Okeechobee,FL,42168,87,2215,1214,4,49,0.072,0.072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.072,3477,2912.4,39869,36392,8538,42449,NA,NA,NA,NA
2020-12-17,Wakulla,FL,33739,82,1834,544,2,20,0.072,0.072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.072,2702,2419.8,32053,29351,5377,33815,NA,NA,NA,NA
