County,Population 12-17,Population 12+,Population 65+,Total Population
Alachua,21043.199999999997,239307,39810,272746
Baker,2265,24334,4067,28864
Bay,11853.6,153352,33126,177856
Bradford,1822.8000000000002,25173,5191,28906
Brevard,38833.2,539899,147991,611202
Broward,136860.6,1692281,336796,1965657
Calhoun,1049.4,13104,2841,15008
Charlotte,7905,173913,76723,188061
Citrus,7641.6,137037,55549,151314
Clay,18224.4,191076,36535,223483
Collier,22994.4,351159,129633,393793
Columbia,5130,61084,13734,71288
Desoto,2404.2,32150,8245,36613
Dixie,1038,14742,3963,16738
Duval,70273.2,846696,145007,1002075
Escambia,24466.800000000003,281021,56074,327107
Flagler,7131.6,104642,36393,116671
Franklin,622.8,11050,2966,12295
Gadsden,3340.2,39813,8696,46481
Gilchrist,1363.8,15826,3764,18218
Glades,753.6,12127,3665,13290
Gulf,888.5999999999999,13023,3927,14829
Hamilton,954.5999999999999,12812,2705,14648
Hardee,2382.6,22924,4809,27585
Hendry,3586.2,33633,5631,40936
Hernando,12369,172286,53678,195123
Highlands,5986.8,93534,37889,105105
Hillsborough,111872.4,1286365,219352,1508560
Holmes,1372.2,17545,4036,20211
Indian River,8856,144570,54400,160707
Jackson,3105.6000000000004,41449,9741,47261
Jefferson,843,13270,3665,14887
Lafayette,694.8,7741,1518,8799
Lake,24258,331300,102242,377680
Lee,46294.2,686068,225470,773456
Leon,25484.4,265978,42164,303541
Levy,2670.6,36450,10524,41859
Liberty,544.8,7866,1326,8837
Madison,1200.6,16972,4071,19299
Manatee,24964.2,358377,113781,405480
Marion,22926,327180,108683,372469
Martin,9198,145961,51330,162810
Miami-Dade,196555.8,2523478,486183,2918507
Monroe,3682.2,68463,18129,76335
Nassau,5849.4,77633,20347,89151
Okaloosa,14181,174989,33668,206418
Okeechobee,2912.4,36392,8538,42449
Orange,110580,1244728,179437,1457445
Osceola,33550.2,338741,54266,401594
Palm Beach,97075.8,1301890,361966,1486178
Pasco,37853.4,477133,124451,549517
Pinellas,53810.399999999994,889176,252022,992298
Polk,54464.399999999994,616449,147122,719665
Putnam,5100,63124,17408,73398
Saint Johns,21507,237794,56834,275222
Saint Lucie,21553.8,281241,79416,322154
Santa Rosa,13812.599999999999,160563,30559,186998
Sarasota,22290,401855,164723,441179
Seminole,35093.4,421560,77793,486795
Sumter,3189,130869,79884,137317
Suwannee,3349.2,40167,10108,46509
Taylor,1435.8,19748,4776,22762
Total,1479544.8,19119043,4584066,21975117
Union,1030.2,13482,2357,15511
Volusia,34284,488794,137573,552328
Wakulla,2419.8,29351,5377,33815
Walton,4767,64230,15049,74427
Washington,1731,22106,4369,25397
